Atomic Number (Z),Theoretical Atomic Mass Number (A),Actual Atomic Mass Number (M)
1,1,1.008
2,4,4.0026
3,7,6.94
4,9,9.0122
5,11,10.81
6,12,12.011
7,14,14.007
8,16,15.999
9,19,18.998
10,20,20.18
11,23,22.99
12,24,24.305
13,27,26.982
14,28,28.085
15,31,30.974
16,32,32.06
17,35,35.45
18,40,39.948
19,39,39.098
20,40,40.078
21,45,44.956
22,48,47.867
23,51,50.942
24,52,51.996
25,55,54.938
26,56,55.845
27,59,58.933
28,59,58.693
29,64,63.546
30,65,65.38
31,70,69.723
32,73,72.63
33,75,74.922
34,79,78.971
35,80,79.904
36,84,83.798
37,85,85.0468
38,88,87.62
39,89,88.906
40,91,91.224
41,93,92.906
42,96,95.95
43,98,96.906
44,101,101.07
45,103,102.91
46,106,106.42
47,108,107.87
48,112,112.41
49,115,114.82
50,119,118.71
51,122,121.76
52,128,127.6
53,127,126.9
54,131,131.29
55,133,132.91
56,137,137.33
57,139,136.91
58,140,140.12
59,141,140.91
60,144,144.24
61,145,144.91
62,150,150.36
63,152,151.96
64,157,157.25
65,159,158.93
66,162,162.5
67,165,164.93
68,167,167.26
69,169,168.93
70,173,173.05
71,175,174.97
72,178,178.49
73,181,180.95
74,184,183.84
75,186,186.21
76,190,190.23
77,192,192.22
78,195,195.08
79,197,196.97
80,201,200.59
81,204,204.38
82,207,207.2
83,209,208.98
84,209,208.98
85,210,209.99
86,222,222.02
87,223,223.02
88,226,226.03
89,227,227.03
90,232,232.04
91,231,231.04
92,238,238.03
93,237,237.05
94,244,244.06
95,243,243.06
96,247,247.07
97,247,247.07
98,251,251.08
99,252,252.08
100,257,257.1
101,258,258.1
102,259,259.1
103,262,262.11
104,267,267.12
105,270,270.13
106,271,269.13
107,270,270.13
108,277,269.13
109,276,278.16
110,281,281.17
111,282,281.17
112,285,285.18
113,286,286.18
114,289,289.19
115,290,289.2
116,293,293.2
117,294,293.21
118,294,294.21
